Horizon,HorizonKey,Experiment,Setting,Model,RMSE
5 min,5m,Dimensions,Price + activity,Signature XGBoost,0.0004160176720594792
5 min,5m,Baseline,Depth 3 | full path | lead-lag + time,XGBoost (stats),0.0004189136921737732
5 min,5m,Dimensions,Price,Signature XGBoost,0.0004229249863418594
5 min,5m,Baseline,Depth 3 | full path | lead-lag + time,XGBoost (signature),0.00042468184113545555
5 min,5m,Augmentation,Lead-lag + time,Signature XGBoost,0.00042468184113545555
5 min,5m,Dimensions,Price + activity + flow,Signature XGBoost,0.00042468184113545555
5 min,5m,Dimensions,Price + activity,Signature Ridge,0.00045337711157760065
5 min,5m,Baseline,Depth 3 | full path | lead-lag + time,Signature Ridge,0.000466613799855258
5 min,5m,Augmentation,Lead-lag + time,Signature Ridge,0.000466613799855258
5 min,5m,Dimensions,Price + activity + flow,Signature Ridge,0.000466613799855258
5 min,5m,Augmentation,Time,Signature XGBoost,0.0004720683234102813
5 min,5m,Augmentation,None,Signature XGBoost,0.00048053951120695436
5 min,5m,Augmentation,Time,Signature Ridge,0.0004964858800418496
5 min,5m,Dimensions,Price,Signature Ridge,0.0005000972243906273
5 min,5m,Augmentation,None,Signature Ridge,0.0005017780771057499
5 min,5m,Baseline,Depth 3 | full path | lead-lag + time,HAR-RV-L,0.0006122355177382365
1 hour,1h,Baseline,Depth 3 | full path | lead-lag + time,HAR-RV-L,0.001314880459297635
1 hour,1h,Baseline,Depth 3 | full path | lead-lag + time,XGBoost (signature),0.0015133888585638167
1 hour,1h,Augmentation,Lead-lag + time,Signature XGBoost,0.0015133888585638167
1 hour,1h,Dimensions,Price + activity + flow,Signature XGBoost,0.0015133888585638167
1 hour,1h,Dimensions,Price,Signature XGBoost,0.0015785641718259968
1 hour,1h,Augmentation,Time,Signature XGBoost,0.0015908752870193237
1 hour,1h,Dimensions,Price + activity,Signature XGBoost,0.001608568270300478
1 hour,1h,Augmentation,None,Signature XGBoost,0.0016222615416782238
1 hour,1h,Baseline,Depth 3 | full path | lead-lag + time,XGBoost (stats),0.0016605707576060908
1 hour,1h,Dimensions,Price,Signature Ridge,0.0018140029205011548
1 hour,1h,Augmentation,None,Signature Ridge,0.0018195803464355863
1 hour,1h,Dimensions,Price + activity,Signature Ridge,0.0018308894410928001
1 hour,1h,Augmentation,Time,Signature Ridge,0.0018406466225592939
1 hour,1h,Baseline,Depth 3 | full path | lead-lag + time,Signature Ridge,0.0018991106260149064
1 hour,1h,Augmentation,Lead-lag + time,Signature Ridge,0.0018991106260149064
1 hour,1h,Dimensions,Price + activity + flow,Signature Ridge,0.0018991106260149064
1 day,1d,Baseline,Depth 3 | full path | lead-lag + time,Signature Ridge,0.009558502667704317
1 day,1d,Augmentation,Lead-lag + time,Signature Ridge,0.009558502667704317
1 day,1d,Dimensions,Price + activity + range,Signature Ridge,0.009558502667704317
1 day,1d,Augmentation,Time,Signature Ridge,0.00962605697556418
1 day,1d,Dimensions,Price + activity,Signature Ridge,0.009666637796104003
1 day,1d,Dimensions,Price + activity,Signature XGBoost,0.009784728478092081
1 day,1d,Dimensions,Price,Signature Ridge,0.009831118256820114
1 day,1d,Augmentation,None,Signature Ridge,0.010046216700839107
1 day,1d,Augmentation,Time,Signature XGBoost,0.010063745111295406
1 day,1d,Baseline,Depth 3 | full path | lead-lag + time,XGBoost (signature),0.010076788303190289
1 day,1d,Augmentation,Lead-lag + time,Signature XGBoost,0.010076788303190289
1 day,1d,Dimensions,Price + activity + range,Signature XGBoost,0.010076788303190289
1 day,1d,Dimensions,Price,Signature XGBoost,0.010102145736535144
1 day,1d,Augmentation,None,Signature XGBoost,0.010226764109661736
1 day,1d,Baseline,Depth 3 | full path | lead-lag + time,HAR-RV-L,0.010640375432743114
1 day,1d,Baseline,Depth 3 | full path | lead-lag + time,XGBoost (stats),0.012353182168946522
7 day,7d,Augmentation,Time,Signature Ridge,0.019100588805242756
7 day,7d,Baseline,Depth 3 | full path | lead-lag + time,Signature Ridge,0.019154337770653215
7 day,7d,Augmentation,Lead-lag + time,Signature Ridge,0.019154337770653215
7 day,7d,Dimensions,Price + activity + range,Signature Ridge,0.019154337770653215
7 day,7d,Augmentation,None,Signature Ridge,0.01939932349978059
7 day,7d,Dimensions,Price + activity,Signature Ridge,0.019593376579988803
7 day,7d,Dimensions,Price,Signature Ridge,0.019778782024852715
7 day,7d,Dimensions,Price + activity,Signature XGBoost,0.021431550404222528
7 day,7d,Baseline,Depth 3 | full path | lead-lag + time,HAR-RV-L,0.02244961251870754
7 day,7d,Dimensions,Price,Signature XGBoost,0.023381199117485797
7 day,7d,Baseline,Depth 3 | full path | lead-lag + time,XGBoost (signature),0.02364411929237744
7 day,7d,Augmentation,Lead-lag + time,Signature XGBoost,0.02364411929237744
7 day,7d,Dimensions,Price + activity + range,Signature XGBoost,0.02364411929237744
7 day,7d,Augmentation,Time,Signature XGBoost,0.02413759733476116
7 day,7d,Augmentation,None,Signature XGBoost,0.02615401480676448
7 day,7d,Baseline,Depth 3 | full path | lead-lag + time,XGBoost (stats),0.0398523733231634
30 day,30d,Augmentation,Time,Signature Ridge,0.03905287813034026
30 day,30d,Dimensions,Price,Signature XGBoost,0.03955448816778629
30 day,30d,Baseline,Depth 3 | full path | lead-lag + time,Signature Ridge,0.03991649856772663
30 day,30d,Augmentation,Lead-lag + time,Signature Ridge,0.03991649856772663
30 day,30d,Dimensions,Price + activity + range,Signature Ridge,0.03991649856772663
30 day,30d,Augmentation,None,Signature Ridge,0.040165651915721176
30 day,30d,Dimensions,Price,Signature Ridge,0.04119188526924196
30 day,30d,Augmentation,None,Signature XGBoost,0.04212505009251442
30 day,30d,Augmentation,Time,Signature XGBoost,0.04383693544171594
30 day,30d,Dimensions,Price + activity,Signature XGBoost,0.0453131180213311
30 day,30d,Baseline,Depth 3 | full path | lead-lag + time,XGBoost (signature),0.045744328329895514
30 day,30d,Augmentation,Lead-lag + time,Signature XGBoost,0.045744328329895514
30 day,30d,Dimensions,Price + activity + range,Signature XGBoost,0.045744328329895514
30 day,30d,Baseline,Depth 3 | full path | lead-lag + time,HAR-RV-L,0.04801831138055093
30 day,30d,Dimensions,Price + activity,Signature Ridge,0.049252558128805704
30 day,30d,Baseline,Depth 3 | full path | lead-lag + time,XGBoost (stats),0.07950532627348059
