Horizon,HorizonKey,Experiment,Setting,Model,RMSE
5 min,5m,Augmentation,Lead-lag + time,Signature XGBoost,0.00042468184113545555
5 min,5m,Augmentation,Lead-lag + time,Signature Ridge,0.000466613799855258
5 min,5m,Augmentation,Time,Signature XGBoost,0.0004720683234102813
5 min,5m,Augmentation,None,Signature XGBoost,0.00048053951120695436
5 min,5m,Augmentation,Time,Signature Ridge,0.0004964858800418496
5 min,5m,Augmentation,None,Signature Ridge,0.0005017780771057499
1 hour,1h,Augmentation,Lead-lag + time,Signature XGBoost,0.0015133888585638167
1 hour,1h,Augmentation,Time,Signature XGBoost,0.0015908752870193237
1 hour,1h,Augmentation,None,Signature XGBoost,0.0016222615416782238
1 hour,1h,Augmentation,None,Signature Ridge,0.0018195803464355863
1 hour,1h,Augmentation,Time,Signature Ridge,0.0018406466225592939
1 hour,1h,Augmentation,Lead-lag + time,Signature Ridge,0.0018991106260149064
1 day,1d,Augmentation,Lead-lag + time,Signature Ridge,0.009558502667704317
1 day,1d,Augmentation,Time,Signature Ridge,0.00962605697556418
1 day,1d,Augmentation,None,Signature Ridge,0.010046216700839107
1 day,1d,Augmentation,Time,Signature XGBoost,0.010063745111295406
1 day,1d,Augmentation,Lead-lag + time,Signature XGBoost,0.010076788303190289
1 day,1d,Augmentation,None,Signature XGBoost,0.010226764109661736
7 day,7d,Augmentation,Time,Signature Ridge,0.019100588805242756
7 day,7d,Augmentation,Lead-lag + time,Signature Ridge,0.019154337770653215
7 day,7d,Augmentation,None,Signature Ridge,0.01939932349978059
7 day,7d,Augmentation,Lead-lag + time,Signature XGBoost,0.02364411929237744
7 day,7d,Augmentation,Time,Signature XGBoost,0.02413759733476116
7 day,7d,Augmentation,None,Signature XGBoost,0.02615401480676448
30 day,30d,Augmentation,Time,Signature Ridge,0.03905287813034026
30 day,30d,Augmentation,Lead-lag + time,Signature Ridge,0.03991649856772663
30 day,30d,Augmentation,None,Signature Ridge,0.040165651915721176
30 day,30d,Augmentation,None,Signature XGBoost,0.04212505009251442
30 day,30d,Augmentation,Time,Signature XGBoost,0.04383693544171594
30 day,30d,Augmentation,Lead-lag + time,Signature XGBoost,0.045744328329895514
